Unnamed: 0.1,Unnamed: 0,X,participant_id,response,resp,resp2,resp3,num_pos,num_neg,total_recall,prop_pos,prop_neg,neg_mem_bias,group
0,1,1,5607080ed7def20012b733c3,appealing attractive gross overwhelmed excited delinquent humorous disgrace unwanted loser detestable charming witty sincere confident insecure ,appealing attractive gross overwhelmed excited delinquent humorous disgrace unwanted loser detestable charming witty sincere confident insecure ,appealing attractive gross overwhelmed excited delinquent humorous disgrace unwanted loser detestable charming witty sincere confident insecure ,appealing attractive gross overwhelmed excited delinquent humorous disgrace unwanted loser detestable charming witty sincere confident insecure ,4,4,8,0.5,0.5,0.0,HC
1,2,2,5632410fca59f6000b795a70,"seeker, unlucky, disgusting, gross, loser, 

When you ask me to list them all my mind goes completely blank.","seeker, unlucky, disgusting, gross, loser, , , When you ask me to list them all my mind goes completely blank.",seeker  unlucky  disgusting  gross  loser      When you ask me to list them all my mind goes completely blank.,seeker  unlucky  disgusting  gross  loser      when you ask me to list them all my mind goes completely blank.,0,2,2,0.0,1.0,1.0,Depressed
2,3,3,5654171504212700054a12ad,"talented, special, stressed, hypocrite, distressed, romantic, garbage","talented, special, stressed, hypocrite, distressed, romantic, garbage",talented  special  stressed  hypocrite  distressed  romantic  garbage,talented  special  stressed  hypocrite  distressed  romantic  garbage,1,1,2,0.5,0.5,0.0,HC
3,4,4,56a68b2d9ce1c0000cf89299,"romantic
scoundrel
unique
unwanted
special

","romantic, scoundrel, unique, unwanted, special, , ",romantic  scoundrel  unique  unwanted  special    ,romantic  scoundrel  unique  unwanted  special    ,2,1,3,0.666666666666667,0.333333333333333,-0.333333333333333,HC
4,5,5,5731e4005b8b06000f7e36b3,"Enjoyable, excited, happy, gross, romantic, enthusiastic, intolerable, energetic, scoundrel, unlucky, reliable, trustworthy, uninvited, loser, worthless, satisfied, visionary,  ","Enjoyable, excited, happy, gross, romantic, enthusiastic, intolerable, energetic, scoundrel, unlucky, reliable, trustworthy, uninvited, loser, worthless, satisfied, visionary,  ",Enjoyable  excited  happy  gross  romantic  enthusiastic  intolerable  energetic  scoundrel  unlucky  reliable  trustworthy  uninvited  loser  worthless  satisfied  visionary   ,enjoyable  excited  happy  gross  romantic  enthusiastic  intolerable  energetic  scoundrel  unlucky  reliable  trustworthy  uninvited  loser  worthless  satisfied  visionary   ,5,2,7,0.714285714285714,0.285714285714286,-0.428571428571429,HC
5,6,6,576ad50bc8a90000010d99c8,gross pitiful excellent hypocrite talented stressed gloomy entertaining uninvited disgusting dull  ,gross pitiful excellent hypocrite talented stressed gloomy entertaining uninvited disgusting dull  ,gross pitiful excellent hypocrite talented stressed gloomy entertaining uninvited disgusting dull  ,gross pitiful excellent hypocrite talented stressed gloomy entertaining uninvited disgusting dull  ,1,3,4,0.25,0.75,0.5,Depressed
6,7,7,576b44b2811f2500014b2c72,"overwhelmed
menace
graceful
delight","overwhelmed, menace, graceful, delight",overwhelmed  menace  graceful  delight,overwhelmed  menace  graceful  delight,2,1,3,0.666666666666667,0.333333333333333,-0.333333333333333,Depressed
7,8,8,57dd1a741334540001170404,"garbage, traitor, seeker, lovable, romantic, sincere, esteemed, uninvited, outcast, degenerate, gross, fun, capable","garbage, traitor, seeker, lovable, romantic, sincere, esteemed, uninvited, outcast, degenerate, gross, fun, capable",garbage  traitor  seeker  lovable  romantic  sincere  esteemed  uninvited  outcast  degenerate  gross  fun  capable,garbage  traitor  seeker  lovable  romantic  sincere  esteemed  uninvited  outcast  degenerate  gross  fun  capable,3,3,6,0.5,0.5,0.0,HC
8,9,9,581e0aee4182b600017307ea,uninvited esteemed garbage confident distressed spectacular dull proud mess excited awkward envious ,uninvited esteemed garbage confident distressed spectacular dull proud mess excited awkward envious ,uninvited esteemed garbage confident distressed spectacular dull proud mess excited awkward envious ,uninvited esteemed garbage confident distressed spectacular dull proud mess excited awkward envious ,1,4,5,0.2,0.8,0.6,HC
9,10,10,5864884ca7f6480001ed9725,"excited
scoundrel
talented
garbage
hypocrite
academic
seeker
undesirable
slob
peaceful
liar
","excited, scoundrel, talented, garbage, hypocrite, academic, seeker, undesirable, slob, peaceful, liar, ",excited  scoundrel  talented  garbage  hypocrite  academic  seeker  undesirable  slob  peaceful  liar  ,excited  scoundrel  talented  garbage  hypocrite  academic  seeker  undesirable  slob  peaceful  liar  ,1,2,3,0.333333333333333,0.666666666666667,0.333333333333333,HC
