subject,response
study2_602,"{""Q0"":2,""Q1"":0,""Q2"":2,""Q3"":3,""Q4"":1,""Q5"":2,""Q6"":1,""Q7"":1,""Q8"":3,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":0,""Q15"":1,""Q16"":3,""Q17"":1,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_601,"{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":0,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":0,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_600,"{""Q0"":2,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":0,""Q7"":1,""Q8"":1,""Q9"":2,""Q10"":1,""Q11"":1,""Q12"":2,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":1,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":1,""Q21"":2,""Q22"":1}"
study2_599,"{""Q0"":1,""Q1"":1,""Q2"":0,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":2,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_598,"{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":2,""Q7"":2,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":2,""Q21"":2,""Q22"":1}"
study2_597,"{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_596,"{""Q0"":0,""Q1"":1,""Q2"":2,""Q3"":0,""Q4"":2,""Q5"":2,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":1,""Q16"":1,""Q17"":2,""Q18"":2,""Q19"":1,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_595,"{""Q0"":2,""Q1"":2,""Q2"":2,""Q3"":3,""Q4"":3,""Q5"":2,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":2,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_594,"{""Q0"":2,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":3,""Q13"":2,""Q14"":3,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_593,"{""Q0"":2,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":2,""Q5"":2,""Q6"":3,""Q7"":1,""Q8"":2,""Q9"":3,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":3,""Q22"":3}"
