subject,response,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
study2_602,"{""Q0"":""""}",,,,,,
study2_601,"{""Q0"":""I just followed the instructions no specific strategy deployed.""}",,,,,,
study2_600,"{""Q0"":""I actually mastered the words' meanings and was able to rate.""}",,,,,,
study2_599,"{""Q0"":""""}",,,,,,
study2_598,"{""Q0"":""i feel good to finish. also the experiment was so engaging""}",,,,,,
study2_597,"{""Q0"":""I cant think of anything to contribute here. The whole thing was thought provoking""}",,,,,,
study2_596,"{""Q0"":""none""}",,,,,,
study2_595,"{""Q0"":""It almost made some feelings come up seeing all those negative words i had to pick to describe myself. Other than that it was great, no improvements necessary. ""}",,,,,,
study2_594,"{""Q0"":""I focused on grouping similar words together to help remember them better. The task felt challenging but engaging, and I stayed attentive throughout. It might help to include a brief practice round to familiarize participants with the process before starting. Overall, it was a good test of memory and attention.""}",,,,,,
study2_593,"{""Q0"":""This was a great survey and I really enjoyed every bit of it, The strategy I used to answer the question was based on how it really reflected with my personal life""}",,,,,,
study2_592,"{""Q0"":""Followed the instructions ""}",,,,,,
study2_591,"{""Q0"":""I strategies by memorizing the words, I felt good about the experiment. \nI wish the researcher will emphasize more on attention check to be able to detect with no confusion.""}",,,,,,
study2_590,"{""Q0"":""I've discovered I may have low self-esteem. The task is fine and needs no improvement.""}",,,,,,
study2_589,"{""Q0"":""I focused on how I felt and the qualities I felt I have or have exhibited in the past. ""}",,,,,,
study2_588,"{""Q0"":""I found the exercise engaging and stimulating.It encourage me to think critically.Ways you can improve are maybe give clear definitions .""}",,,,,,
study2_587,"{""Q0"":""""}",,,,,,
study2_586,"{""Q0"":""I actually felt super relaxed after the experiment""}",,,,,,
study2_585,"{""Q0"":""I just had to follow the instruction and paid close attention to what I was doing, enabling me to remember some of the words the asked.""}",,,,,,
study2_584,"{""Q0"":""All good""}",,,,,,
study2_583,"{""Q0"":""The experiment was not that hard to comprehend, therefore there was no much need to apply any specific strategy. Most of the time during the experiment, I followed my gut feeling and everything went on smoothly.""}",,,,,,
study2_582,"{""Q0"":""""}",,,,,,
study2_581,"{""Q0"":""You unlocked my past.""}",,,,,,
study2_580,"{""Q0"":""I employed a clear strategy,  This approach provided consistent, realistic answers. I rated words and answered questions from this specific viewpoint.\nI felt satisfied after finishing the experiment. The task was engaging and well-structured. It gave a deep insight into the persona's psychology.""}",,,,,,
study2_579,"{""Q0"":""I feel like the task should provide a more detailed explanations before starting a new one.""}",,,,,,
study2_578,"{""Q0"":""I felt completely engaged while completing the experiment. I highly focused on my personality traits while making the judgements. I felt informed and excited after completing the study""}",,,,,,
study2_577,"{""Q0"":""I gave a true definition of who I am. ""}",,,,,,
study2_576,"{""Q0"":""close attention""}",,,,,,
study2_575,"{""Q0"":""great task as it made me reflect on myself and my mental situation""}",,,,,,
study2_574,"{""Q0"":""I just followed my guts to pick the words. I feel like I might be depressed""}",,,,,,
study2_573,"{""Q0"":""This made me think about myself more than I expected it to. ""}",,,,,,
study2_572,"{""Q0"":""followed the instructions given and selected words which likely describe me""}",,,,,,
study2_571,"{""Q0"":""It was very good and educative one ""}",,,,,,
study2_570,"{""Q0"":""I thought about how i felt about a certain description and how well i fitted into the description. ""}",,,,,,
study2_569,"{""Q0"":""I used introspection to make my personal decisions in the task. I felt engaged after the task. The task was very interactive.""}",,,,,,
study2_568,"{""Q0"":""I only chose what best matched my personality.""}",,,,,,
study2_567,"{""Q0"":""The strategy I employed was I deeply analyzed the words and picked the one I strongly related to. The study has given me a deeper reflection about myself and my habits. I found the instructions to be very clear. Nothing to complain about. The fonts were also perfect making it easy to read. I liked the study honestly.""}",,,,,,
study2_566,"{""Q0"":""No comments ""}",,,,,,
study2_565,"{""Q0"":""N/A""}",,,,,,
study2_564,"{""Q0"":""I performed the task based on how I feel and behave naturally. I felt confident after the task. Interesting task.""}",,,,,,
study2_563,"{""Q0"":""tried to focus on the key detals in each question and match them with the information provided in the tables.My strategy was to compare numbers carefully and rule out options that did not fit.After completing the experimentI felt that the tasks were clear but sometimes repetitive""}",,,,,,
study2_562,"{""Q0"":""The strategy I used is, I thought of myself, and thought if the word naturally describes me or not. The study gave me time to self-reflect. I enjoyed taking the study.""}",,,,,,
study2_561,"{""Q0"":""The strategy I employed was analyzing the various qualities and rating how well it describes me. I felt happy and satisfied after completing the experiment.""}",,,,,,
study2_560,"{""Q0"":""NA""}",,,,,,
study2_559,"{""Q0"":""No comment ""}",,,,,,
study2_558,"{""Q0"":""The study was educative.""}",,,,,,
study2_557,"{""Q0"":""I paid attention to the words""}",,,,,,
study2_556,"{""Q0"":""""}",,,,,,
study2_555,"{""Q0"":""I feel proud for taking my time to finish this""}",,,,,,
study2_554,"{""Q0"":""I employed a lot of inner reflection, though I wish there were more descriptive words.""}",,,,,,
study2_553,"{""Q0"":""Everything went well. ""}",,,,,,
study2_552,"{""Q0"":""""}",,,,,,
study2_551,"{""Q0"":""I did not use any strategy""}",,,,,,
study2_550,"{""Q0"":""you guys did a good job of keeping it engaging by switching it up and putting timers. also the breaks were in good spirits. well done""}",,,,,,
study2_549,"{""Q0"":""""}",,,,,,
study2_548,"{""Q0"":""I would say I approach the study making sure I focused and followed instructions ""}",,,,,,
study2_547,"{""Q0"":""The experiment was very engaging and going through the words helped me even notice some characters in me. Before selecting any  word, I asked myself if that word really describe me and I could learn also. Overall the study was clear, great and engaging.""}",,,,,,
study2_546,"{""Q0"":""I mostly went with my gut and tried not to overthink. The tasks were clear and easy to follow.""}",,,,,,
study2_545,"{""Q0"":""The most important strategy i have used in the rating tasks in trying to picture myself in the word. Assess how the people I interact with think of me and then give my rating.\nOverall, the experiment was awesome""}",,,,,,
study2_544,"{""Q0"":""I gave some thought on the words listed and how they describe me, it was a very engaging activity for me. All good.""}",,,,,,
study2_543,"{""Q0"":""none""}",,,,,,
study2_542,"{""Q0"":""It was quite interesting since i had to self ref;ect so that i could answwe the questions""}",,,,,,
study2_541,"{""Q0"":""I felt relieved after the experiment due to the intrusive nature of the questions.""}",,,,,,
study2_540,"{""Q0"":""I am really good at removing myself from the emotion of self-evaluation. Rather than focusing on any inadequecies or doubts that I may be having and letting these things sway my self-assessment here, I stand back and take an honest inventory of the person that I am in this, the present moment... Unrealted to any past failures/successess and also unrelated to any concerns or worries about the future.\nThis is a great task btw. I have no suggestions ""}",,,,,,
study2_539,"{""Q0"":""memorized the words in mind, and think about how they have impact in my life""}",,,,,,
study2_538,"{""Q0"":""I stayed focused, felt proud, finished strong.""}",,,,,,
study2_537,"{""Q0"":""I tried to remember the negative attributes better.""}",,,,,,
study2_536,"{""Q0"":""No strategies were employed. With all of the experiments, I went with my first gut reaction. A couple of times I simply clicked or pressed the wrong button on accident, but for the most part, I just went with my gut. I enjoyed it. Thank you!""}",,,,,,
study2_535,"{""Q0"":""It was a little repetitive. Maybe the longer tasks could be broken into maybe 1 more section, just to give a break, because I think people who do the whole thing are committed and want to do their best and give good and accurate data.\n\nAlso, maybe explain that you CAN select 0 or 100 if you want or it feels appropriate. At first I thought you meant for us NOT to select those, but I figured it out. Just a little unclear at first.\n\nOne last point: are you expecting any specific minimum number of remembered words to be typed out, or just a time spent on that part? I thik respondents might feel insecure that they are not doing enough without any guidance there.""}",,,,,,
study2_534,"{""Q0"":""Completely enjoyed participating and found myself completely engaged and attentive.  Best of Luck !!!""}",,,,,,
